death_date,death_weekday,death_week_ending,age_elderly,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2024-09-06,Friday,2024-09-08,70-79,0,0,0.1429,0.038
2024-09-06,Friday,2024-09-08,80+,0,0,1,0.5088
2024-09-05,Thursday,2024-09-08,<60,0,0,0.1429,0.0038
2024-09-05,Thursday,2024-09-08,60-69,0,0,0,0
2024-09-05,Thursday,2024-09-08,70-79,0,0,0.1429,0.038
2024-09-05,Thursday,2024-09-08,80+,1,0.5088,1,0.5088
2024-09-04,Wednesday,2024-09-08,<60,0,0,0.1429,0.0038
2024-09-04,Wednesday,2024-09-08,60-69,0,0,0.1429,0.0254
2024-09-04,Wednesday,2024-09-08,70-79,0,0,0.1429,0.038
2024-09-04,Wednesday,2024-09-08,80+,1,0.5088,1.1429,0.5815
2024-09-03,Tuesday,2024-09-08,<60,0,0,0.1429,0.0038
2024-09-03,Tuesday,2024-09-08,60-69,0,0,0.1429,0.0254
2024-09-03,Tuesday,2024-09-08,70-79,0,0,0.1429,0.038
2024-09-03,Tuesday,2024-09-08,80+,0,0,1.1429,0.5815
2024-09-02,Monday,2024-09-08,<60,0,0,0.1429,0.0038
2024-09-02,Monday,2024-09-08,60-69,0,0,0.2857,0.0509
2024-09-02,Monday,2024-09-08,70-79,1,0.2659,0.1429,0.038
2024-09-02,Monday,2024-09-08,80+,0,0,1.2857,0.6542
2024-09-01,Sunday,2024-09-01,<60,1,0.0265,0.1429,0.0038
2024-09-01,Sunday,2024-09-01,60-69,0,0,0.2857,0.0509
2024-09-01,Sunday,2024-09-01,70-79,0,0,0.1429,0.038
2024-09-01,Sunday,2024-09-01,80+,3,1.5265,1.4286,0.7269
2024-08-31,Saturday,2024-09-01,<60,0,0,0,0
2024-08-31,Saturday,2024-09-01,60-69,0,0,0.2857,0.0509
2024-08-31,Saturday,2024-09-01,70-79,0,0,0.1429,0.038
2024-08-31,Saturday,2024-09-01,80+,2,1.0177,1.1429,0.5815
2024-08-30,Friday,2024-09-01,<60,0,0,0,0
2024-08-30,Friday,2024-09-01,60-69,0,0,0.2857,0.0509
2024-08-30,Friday,2024-09-01,70-79,0,0,0.2857,0.076
2024-08-30,Friday,2024-09-01,80+,0,0,1.2857,0.6542
2024-08-29,Thursday,2024-09-01,<60,0,0,0,0
2024-08-29,Thursday,2024-09-01,60-69,1,0.1781,0.4286,0.0763
2024-08-29,Thursday,2024-09-01,70-79,0,0,0.2857,0.076
2024-08-29,Thursday,2024-09-01,80+,2,1.0177,1.5714,0.7996
2024-08-28,Wednesday,2024-09-01,<60,0,0,0,0
2024-08-28,Wednesday,2024-09-01,60-69,0,0,0.2857,0.0509
2024-08-28,Wednesday,2024-09-01,70-79,0,0,0.4286,0.1139
2024-08-28,Wednesday,2024-09-01,80+,1,0.5088,1.8571,0.945
2024-08-27,Tuesday,2024-09-01,<60,0,0,0,0
2024-08-27,Tuesday,2024-09-01,60-69,1,0.1781,0.2857,0.0509
2024-08-27,Tuesday,2024-09-01,70-79,0,0,0.4286,0.1139
2024-08-27,Tuesday,2024-09-01,80+,1,0.5088,1.7143,0.8723
2024-08-26,Monday,2024-09-01,<60,0,0,0,0
2024-08-26,Monday,2024-09-01,60-69,0,0,0.1429,0.0254
2024-08-26,Monday,2024-09-01,70-79,1,0.2659,0.5714,0.1519
2024-08-26,Monday,2024-09-01,80+,1,0.5088,1.7143,0.8723
2024-08-25,Sunday,2024-08-25,<60,0,0,0,0
2024-08-25,Sunday,2024-08-25,60-69,0,0,0.1429,0.0254
2024-08-25,Sunday,2024-08-25,70-79,0,0,0.4286,0.1139
2024-08-25,Sunday,2024-08-25,80+,1,0.5088,1.7143,0.8723
2024-08-24,Saturday,2024-08-25,<60,0,0,0,0
2024-08-24,Saturday,2024-08-25,60-69,0,0,0.1429,0.0254
2024-08-24,Saturday,2024-08-25,70-79,1,0.2659,0.4286,0.1139
2024-08-24,Saturday,2024-08-25,80+,3,1.5265,1.7143,0.8723
2024-08-23,Friday,2024-08-25,<60,0,0,0,0
2024-08-23,Friday,2024-08-25,60-69,1,0.1781,0.1429,0.0254
2024-08-23,Friday,2024-08-25,70-79,0,0,0.4286,0.1139
2024-08-23,Friday,2024-08-25,80+,2,1.0177,1.2857,0.6542
2024-08-22,Thursday,2024-08-25,<60,0,0,0,0
2024-08-22,Thursday,2024-08-25,60-69,0,0,0.1429,0.0254
2024-08-22,Thursday,2024-08-25,70-79,1,0.2659,0.5714,0.1519
2024-08-22,Thursday,2024-08-25,80+,4,2.0354,1.2857,0.6542
2024-08-21,Wednesday,2024-08-25,<60,0,0,0,0
2024-08-21,Wednesday,2024-08-25,60-69,0,0,0.2857,0.0509
2024-08-21,Wednesday,2024-08-25,70-79,0,0,0.5714,0.1519
2024-08-21,Wednesday,2024-08-25,80+,0,0,1,0.5088
2024-08-20,Tuesday,2024-08-25,<60,0,0,0,0
2024-08-20,Tuesday,2024-08-25,60-69,0,0,0.2857,0.0509
2024-08-20,Tuesday,2024-08-25,70-79,1,0.2659,0.5714,0.1519
2024-08-20,Tuesday,2024-08-25,80+,1,0.5088,1,0.5088
2024-08-19,Monday,2024-08-25,<60,0,0,0,0
2024-08-19,Monday,2024-08-25,60-69,0,0,0.2857,0.0509
2024-08-19,Monday,2024-08-25,70-79,0,0,0.4286,0.1139
2024-08-19,Monday,2024-08-25,80+,1,0.5088,0.8571,0.4362
2024-08-18,Sunday,2024-08-18,<60,0,0,0,0
2024-08-18,Sunday,2024-08-18,60-69,0,0,0.2857,0.0509
2024-08-18,Sunday,2024-08-18,70-79,0,0,0.4286,0.1139
2024-08-18,Sunday,2024-08-18,80+,1,0.5088,1,0.5088
2024-08-17,Saturday,2024-08-18,<60,0,0,0,0
2024-08-17,Saturday,2024-08-18,60-69,0,0,0.2857,0.0509
2024-08-17,Saturday,2024-08-18,70-79,1,0.2659,0.4286,0.1139
2024-08-17,Saturday,2024-08-18,80+,0,0,0.8571,0.4362
2024-08-16,Friday,2024-08-18,<60,0,0,0.1429,0.0038
2024-08-16,Friday,2024-08-18,60-69,1,0.1781,0.2857,0.0509
2024-08-16,Friday,2024-08-18,70-79,1,0.2659,0.2857,0.076
2024-08-16,Friday,2024-08-18,80+,2,1.0177,1,0.5088
2024-08-15,Thursday,2024-08-18,<60,0,0,0.1429,0.0038
2024-08-15,Thursday,2024-08-18,60-69,1,0.1781,0.1429,0.0254
2024-08-15,Thursday,2024-08-18,70-79,1,0.2659,0.1429,0.038
2024-08-15,Thursday,2024-08-18,80+,2,1.0177,0.7143,0.3635
2024-08-14,Wednesday,2024-08-18,<60,0,0,0.1429,0.0038
2024-08-14,Wednesday,2024-08-18,60-69,0,0,0,0
2024-08-14,Wednesday,2024-08-18,70-79,0,0,0.1429,0.038
2024-08-14,Wednesday,2024-08-18,80+,0,0,0.4286,0.2181
2024-08-13,Tuesday,2024-08-18,<60,0,0,0.1429,0.0038
2024-08-13,Tuesday,2024-08-18,60-69,0,0,0.2857,0.0509
2024-08-13,Tuesday,2024-08-18,70-79,0,0,0.2857,0.076
2024-08-13,Tuesday,2024-08-18,80+,0,0,0.4286,0.2181
2024-08-12,Monday,2024-08-18,<60,0,0,0.1429,0.0038
2024-08-12,Monday,2024-08-18,60-69,0,0,0.2857,0.0509
2024-08-12,Monday,2024-08-18,70-79,0,0,0.4286,0.1139
2024-08-12,Monday,2024-08-18,80+,2,1.0177,0.7143,0.3635
2024-08-11,Sunday,2024-08-11,<60,0,0,0.2857,0.0076
2024-08-11,Sunday,2024-08-11,60-69,0,0,0.2857,0.0509
2024-08-11,Sunday,2024-08-11,70-79,0,0,0.4286,0.1139
2024-08-11,Sunday,2024-08-11,80+,0,0,0.4286,0.2181
2024-08-10,Saturday,2024-08-11,<60,1,0.0265,0.2857,0.0076
2024-08-10,Saturday,2024-08-11,60-69,0,0,0.4286,0.0763
2024-08-10,Saturday,2024-08-11,70-79,0,0,0.5714,0.1519
2024-08-10,Saturday,2024-08-11,80+,1,0.5088,0.5714,0.2908
2024-08-09,Friday,2024-08-11,<60,0,0,0.1429,0.0038
2024-08-09,Friday,2024-08-11,60-69,0,0,0.4286,0.0763
2024-08-09,Friday,2024-08-11,70-79,0,0,0.7143,0.1899
2024-08-09,Friday,2024-08-11,80+,0,0,1,0.5088
2024-08-08,Thursday,2024-08-11,<60,0,0,0.1429,0.0038
2024-08-08,Thursday,2024-08-11,60-69,0,0,0.4286,0.0763
2024-08-08,Thursday,2024-08-11,70-79,1,0.2659,0.7143,0.1899
2024-08-08,Thursday,2024-08-11,80+,0,0,1,0.5088
2024-08-07,Wednesday,2024-08-11,<60,0,0,0.1429,0.0038
2024-08-07,Wednesday,2024-08-11,60-69,2,0.3562,0.4286,0.0763
2024-08-07,Wednesday,2024-08-11,70-79,1,0.2659,0.5714,0.1519
2024-08-07,Wednesday,2024-08-11,80+,0,0,1.7143,0.8723
2024-08-06,Tuesday,2024-08-11,<60,0,0,0.1429,0.0038
2024-08-06,Tuesday,2024-08-11,60-69,0,0,0.1429,0.0254
2024-08-06,Tuesday,2024-08-11,70-79,1,0.2659,0.4286,0.1139
2024-08-06,Tuesday,2024-08-11,80+,2,1.0177,1.8571,0.945
2024-08-05,Monday,2024-08-11,<60,1,0.0265,0.1429,0.0038
2024-08-05,Monday,2024-08-11,60-69,0,0,0.2857,0.0509
2024-08-05,Monday,2024-08-11,70-79,0,0,0.2857,0.076
2024-08-05,Monday,2024-08-11,80+,0,0,2.1429,1.0904
2024-08-04,Sunday,2024-08-04,<60,0,0,0,0
2024-08-04,Sunday,2024-08-04,60-69,1,0.1781,0.2857,0.0509
2024-08-04,Sunday,2024-08-04,70-79,1,0.2659,0.2857,0.076
2024-08-04,Sunday,2024-08-04,80+,1,0.5088,2.2857,1.1631
2024-08-03,Saturday,2024-08-04,<60,0,0,0,0
2024-08-03,Saturday,2024-08-04,60-69,0,0,0.1429,0.0254
2024-08-03,Saturday,2024-08-04,70-79,1,0.2659,0.1429,0.038
2024-08-03,Saturday,2024-08-04,80+,4,2.0354,2.2857,1.1631
2024-08-02,Friday,2024-08-04,<60,0,0,0,0
